date,hour,n
2022.10.29,PB,23
2022.10.26,N1,19
2022.10.26,N2,36
2022.10.26,N3,37
2022.10.26,N4,46
2022.10.26,N5,56
2022.10.26,PB,24
2022.10.24,N1,18
2022.10.24,N2,23
2022.10.24,N3,35
2022.10.24,N4,45
2022.10.24,N5,54
2022.10.24,PB,16
2022.10.22,N1,19
2022.10.22,N2,25
2022.10.22,N3,48
2022.10.22,N4,55
2022.10.22,N5,60
2022.10.22,PB,18
2022.10.19,N1,6
2022.10.19,N2,8
2022.10.19,N3,15
2022.10.19,N4,27
2022.10.19,N5,42
2022.10.19,PB,10
2022.10.17,N1,19
2022.10.17,N2,30
2022.10.17,N3,36
2022.10.17,N4,46
2022.10.17,N5,60
2022.10.17,PB,25
2022.10.15,N1,32
2022.10.15,N2,37
2022.10.15,N3,40
2022.10.15,N4,58
2022.10.15,N5,62
2022.10.15,PB,15
2022.10.12,N1,14
2022.10.12,N2,30
2022.10.12,N3,41
2022.10.12,N4,42
2022.10.12,N5,59
2022.10.12,PB,6
2022.10.10,N1,3
2022.10.10,N2,6
2022.10.10,N3,11
2022.10.10,N4,17
2022.10.10,N5,22
2022.10.10,PB,11
2022.10.08,N1,13
2022.10.08,N2,43
2022.10.08,N3,53
2022.10.08,N4,60
2022.10.08,N5,68
2022.10.08,PB,5
2022.10.05,N1,26
2022.10.05,N2,30
2022.10.05,N3,33
2022.10.05,N4,37
2022.10.05,N5,62
2022.10.05,PB,6
2022.10.03,N1,2
2022.10.03,N2,16
2022.10.03,N3,22
2022.10.03,N4,55
2022.10.03,N5,63
2022.10.03,PB,22
2022.10.01,N1,8
2022.10.01,N2,21
2022.10.01,N3,22
2022.10.01,N4,65
2022.10.01,N5,69
2022.10.01,PB,26
2022.09.28,N1,6
2022.09.28,N2,10
2022.09.28,N3,24
2022.09.28,N4,33
2022.09.28,N5,67
2022.09.28,PB,11
2022.09.26,N1,13
2022.09.26,N2,20
2022.09.26,N3,31
2022.09.26,N4,33
2022.09.26,N5,59
2022.09.26,PB,20
2022.09.24,N1,3
2022.09.24,N2,9
2022.09.24,N3,21
2022.09.24,N4,24
2022.09.24,N5,29
2022.09.24,PB,14
2022.09.21,N1,6
2022.09.21,N2,33
2022.09.21,N3,34
2022.09.21,N4,45
2022.09.21,N5,54
2022.09.21,PB,7
2022.09.19,N1,7
2022.09.19,N2,15
2022.09.19,N3,36
2022.09.19,N4,46
2022.09.19,N5,67
2022.09.19,PB,7
2022.09.17,N1,5
2022.09.17,N2,25
2022.09.17,N3,36
2022.09.17,N4,51
2022.09.17,N5,61
2022.09.17,PB,1
2022.09.14,N1,9
2022.09.14,N2,10
2022.09.14,N3,20
2022.09.14,N4,22
2022.09.14,N5,52
2022.09.14,PB,25
2022.09.12,N1,6
2022.09.12,N2,14
2022.09.12,N3,16
2022.09.12,N4,34
2022.09.12,N5,66
2022.09.12,PB,25
2022.09.10,N1,38
2022.09.10,N2,42
2022.09.10,N3,56
2022.09.10,N4,68
2022.09.10,N5,69
2022.09.10,PB,4
2022.09.07,N1,3
2022.09.07,N2,16
2022.09.07,N3,30
2022.09.07,N4,33
2022.09.07,N5,36
2022.09.07,PB,20
2022.09.05,N1,4
2022.09.05,N2,7
2022.09.05,N3,32
2022.09.05,N4,55
2022.09.05,N5,64
2022.09.05,PB,25
2022.09.03,N1,18
2022.09.03,N2,27
2022.09.03,N3,49
2022.09.03,N4,65
2022.09.03,N5,69
2022.09.03,PB,9
2022.08.31,N1,7
2022.08.31,N2,8
2022.08.31,N3,19
2022.08.31,N4,24
2022.08.31,N5,28
2022.08.31,PB,1
2022.08.29,N1,13
2022.08.29,N2,36
2022.08.29,N3,43
2022.08.29,N4,61
2022.08.29,N5,69
2022.08.29,PB,18
2022.08.27,N1,2
2022.08.27,N2,18
2022.08.27,N3,56
2022.08.27,N4,60
2022.08.27,N5,65
2022.08.27,PB,14
2022.08.24,N1,6
2022.08.24,N2,24
2022.08.24,N3,35
2022.08.24,N4,37
2022.08.24,N5,44
2022.08.24,PB,22
2022.08.22,N1,12
2022.08.22,N2,27
2022.08.22,N3,34
2022.08.22,N4,55
2022.08.22,N5,67
2022.08.22,PB,9
2022.08.20,N1,5
2022.08.20,N2,9
2022.08.20,N3,11
2022.08.20,N4,16
2022.08.20,N5,66
2022.08.20,PB,7
2022.08.17,N1,23
2022.08.17,N2,28
2022.08.17,N3,41
2022.08.17,N4,50
2022.08.17,N5,55
2022.08.17,PB,24
2022.08.15,N1,20
2022.08.15,N2,24
2022.08.15,N3,47
2022.08.15,N4,50
2022.08.15,N5,63
2022.08.15,PB,5
2022.08.13,N1,19
2022.08.13,N2,24
2022.08.13,N3,35
2022.08.13,N4,43
2022.08.13,N5,62
2022.08.13,PB,2
2022.08.10,N1,29
2022.08.10,N2,44
2022.08.10,N3,59
2022.08.10,N4,61
2022.08.10,N5,68
2022.08.10,PB,19
2022.08.08,N1,32
2022.08.08,N2,45
2022.08.08,N3,51
2022.08.08,N4,57
2022.08.08,N5,58
2022.08.08,PB,12
2022.08.06,N1,8
2022.08.06,N2,15
2022.08.06,N3,46
2022.08.06,N4,56
2022.08.06,N5,68
2022.08.06,PB,3
2022.08.03,N1,9
2022.08.03,N2,21
2022.08.03,N3,56
2022.08.03,N4,57
2022.08.03,N5,66
2022.08.03,PB,11
2022.08.01,N1,15
2022.08.01,N2,21
2022.08.01,N3,31
2022.08.01,N4,36
2022.08.01,N5,65
2022.08.01,PB,16
2022.07.30,N1,4
2022.07.30,N2,17
2022.07.30,N3,57
2022.07.30,N4,58
2022.07.30,N5,68
2022.07.30,PB,12
2022.07.27,N1,1
2022.07.27,N2,25
2022.07.27,N3,44
2022.07.27,N4,55
2022.07.27,N5,57
2022.07.27,PB,26
2022.07.25,N1,25
2022.07.25,N2,37
2022.07.25,N3,38
2022.07.25,N4,39
2022.07.25,N5,65
2022.07.25,PB,5
2022.07.23,N1,39
2022.07.23,N2,41
2022.07.23,N3,54
2022.07.23,N4,59
2022.07.23,N5,62
2022.07.23,PB,12
2022.07.20,N1,10
2022.07.20,N2,20
2022.07.20,N3,23
2022.07.20,N4,49
2022.07.20,N5,65
2022.07.20,PB,22
2022.07.18,N1,14
2022.07.18,N2,34
2022.07.18,N3,36
2022.07.18,N4,50
2022.07.18,N5,58
2022.07.18,PB,5
2022.07.16,N1,3
2022.07.16,N2,18
2022.07.16,N3,23
2022.07.16,N4,32
2022.07.16,N5,57
2022.07.16,PB,21
2022.07.13,N1,22
2022.07.13,N2,23
2022.07.13,N3,36
2022.07.13,N4,47
2022.07.13,N5,63
2022.07.13,PB,2
2022.07.11,N1,4
2022.07.11,N2,26
2022.07.11,N3,34
2022.07.11,N4,37
2022.07.11,N5,52
2022.07.11,PB,9
2022.07.09,N1,14
2022.07.09,N2,22
2022.07.09,N3,42
2022.07.09,N4,46
2022.07.09,N5,52
2022.07.09,PB,24
2022.07.06,N1,32
2022.07.06,N2,36
2022.07.06,N3,49
2022.07.06,N4,62
2022.07.06,N5,69
2022.07.06,PB,13
2022.07.04,N1,15
2022.07.04,N2,16
2022.07.04,N3,24
2022.07.04,N4,31
2022.07.04,N5,56
2022.07.04,PB,4
2022.07.02,N1,9
2022.07.02,N2,10
2022.07.02,N3,37
2022.07.02,N4,59
2022.07.02,N5,62
2022.07.02,PB,26
2022.06.29,N1,8
2022.06.29,N2,40
2022.06.29,N3,49
2022.06.29,N4,58
2022.06.29,N5,63
2022.06.29,PB,14
2022.06.27,N1,11
2022.06.27,N2,13
2022.06.27,N3,18
2022.06.27,N4,30
2022.06.27,N5,37
2022.06.27,PB,16
2022.06.25,N1,6
2022.06.25,N2,12
2022.06.25,N3,20
2022.06.25,N4,27
2022.06.25,N5,32
2022.06.25,PB,4
2022.06.22,N1,6
2022.06.22,N2,10
2022.06.22,N3,31
2022.06.22,N4,48
2022.06.22,N5,56
2022.06.22,PB,12
2022.06.20,N1,3
2022.06.20,N2,44
2022.06.20,N3,61
2022.06.20,N4,63
2022.06.20,N5,69
2022.06.20,PB,13
2022.06.18,N1,10
2022.06.18,N2,19
2022.06.18,N3,40
2022.06.18,N4,45
2022.06.18,N5,58
2022.06.18,PB,25
2022.06.15,N1,19
2022.06.15,N2,28
2022.06.15,N3,41
2022.06.15,N4,42
2022.06.15,N5,51
2022.06.15,PB,7
2022.06.13,N1,2
2022.06.13,N2,27
2022.06.13,N3,42
2022.06.13,N4,44
2022.06.13,N5,51
2022.06.13,PB,25
2022.06.11,N1,18
2022.06.11,N2,20
2022.06.11,N3,26
2022.06.11,N4,53
2022.06.11,N5,69
2022.06.11,PB,5
2022.06.08,N1,22
2022.06.08,N2,39
2022.06.08,N3,43
2022.06.08,N4,62
2022.06.08,N5,64
2022.06.08,PB,7
2022.06.06,N1,2
2022.06.06,N2,10
2022.06.06,N3,35
2022.06.06,N4,44
2022.06.06,N5,46
2022.06.06,PB,4
2022.06.04,N1,14
2022.06.04,N2,16
2022.06.04,N3,36
2022.06.04,N4,52
2022.06.04,N5,60
2022.06.04,PB,16
2022.06.01,N1,11
2022.06.01,N2,41
2022.06.01,N3,56
2022.06.01,N4,57
2022.06.01,N5,63
2022.06.01,PB,2
2022.05.30,N1,27
2022.05.30,N2,28
2022.05.30,N3,51
2022.05.30,N4,68
2022.05.30,N5,69
2022.05.30,PB,22
2022.05.28,N1,2
2022.05.28,N2,39
2022.05.28,N3,50
2022.05.28,N4,61
2022.05.28,N5,66
2022.05.28,PB,15
2022.05.25,N1,19
2022.05.25,N2,28
2022.05.25,N3,39
2022.05.25,N4,42
2022.05.25,N5,57
2022.05.25,PB,17
2022.05.23,N1,1
2022.05.23,N2,33
2022.05.23,N3,37
2022.05.23,N4,39
2022.05.23,N5,42
2022.05.23,PB,26
2022.05.21,N1,14
2022.05.21,N2,15
2022.05.21,N3,25
2022.05.21,N4,52
2022.05.21,N5,58
2022.05.21,PB,11
2022.05.18,N1,40
2022.05.18,N2,41
2022.05.18,N3,58
2022.05.18,N4,64
2022.05.18,N5,65
2022.05.18,PB,17
2022.05.16,N1,7
2022.05.16,N2,15
2022.05.16,N3,22
2022.05.16,N4,36
2022.05.16,N5,64
2022.05.16,PB,13
2022.05.14,N1,6
2022.05.14,N2,40
2022.05.14,N3,41
2022.05.14,N4,45
2022.05.14,N5,52
2022.05.14,PB,9
2022.05.11,N1,5
2022.05.11,N2,7
2022.05.11,N3,61
2022.05.11,N4,63
2022.05.11,N5,69
2022.05.11,PB,18
2022.05.09,N1,18
2022.05.09,N2,30
2022.05.09,N3,35
2022.05.09,N4,52
2022.05.09,N5,56
2022.05.09,PB,5
2022.05.07,N1,4
2022.05.07,N2,5
2022.05.07,N3,6
2022.05.07,N4,28
2022.05.07,N5,67
2022.05.07,PB,10
2022.05.04,N1,37
2022.05.04,N2,39
2022.05.04,N3,55
2022.05.04,N4,63
2022.05.04,N5,69
2022.05.04,PB,23
2022.05.02,N1,18
2022.05.02,N2,27
2022.05.02,N3,33
2022.05.02,N4,39
2022.05.02,N5,44
2022.05.02,PB,8
2022.04.30,N1,14
2022.04.30,N2,21
2022.04.30,N3,37
2022.04.30,N4,44
2022.04.30,N5,63
2022.04.30,PB,1
2022.04.27,N1,11
2022.04.27,N2,36
2022.04.27,N3,61
2022.04.27,N4,62
2022.04.27,N5,68
2022.04.27,PB,4
2022.04.25,N1,12
2022.04.25,N2,18
2022.04.25,N3,20
2022.04.25,N4,39
2022.04.25,N5,61
2022.04.25,PB,10
2022.04.23,N1,10
2022.04.23,N2,39
2022.04.23,N3,47
2022.04.23,N4,49
2022.04.23,N5,56
2022.04.23,PB,8
2022.04.20,N1,20
2022.04.20,N2,30
2022.04.20,N3,45
2022.04.20,N4,55
2022.04.20,N5,56
2022.04.20,PB,14
2022.04.18,N1,8
2022.04.18,N2,33
2022.04.18,N3,55
2022.04.18,N4,59
2022.04.18,N5,62
2022.04.18,PB,18
2022.04.16,N1,15
2022.04.16,N2,21
2022.04.16,N3,32
2022.04.16,N4,62
2022.04.16,N5,65
2022.04.16,PB,26
2022.04.13,N1,14
2022.04.13,N2,16
2022.04.13,N3,41
2022.04.13,N4,63
2022.04.13,N5,68
2022.04.13,PB,26
2022.04.11,N1,5
2022.04.11,N2,7
2022.04.11,N3,24
2022.04.11,N4,31
2022.04.11,N5,34
2022.04.11,PB,4
2022.04.09,N1,6
2022.04.09,N2,16
2022.04.09,N3,31
2022.04.09,N4,62
2022.04.09,N5,66
2022.04.09,PB,18
2022.04.06,N1,6
2022.04.06,N2,42
2022.04.06,N3,45
2022.04.06,N4,47
2022.04.06,N5,64
2022.04.06,PB,18
2022.04.04,N1,2
2022.04.04,N2,32
2022.04.04,N3,39
2022.04.04,N4,46
2022.04.04,N5,69
2022.04.04,PB,6
2022.04.02,N1,6
2022.04.02,N2,28
2022.04.02,N3,47
2022.04.02,N4,58
2022.04.02,N5,59
2022.04.02,PB,18
2022.03.30,N1,3
2022.03.30,N2,7
2022.03.30,N3,21
2022.03.30,N4,31
2022.03.30,N5,37
2022.03.30,PB,11
2022.03.28,N1,11
2022.03.28,N2,18
2022.03.28,N3,39
2022.03.28,N4,58
2022.03.28,N5,62
2022.03.28,PB,3
2022.03.26,N1,2
2022.03.26,N2,10
2022.03.26,N3,50
2022.03.26,N4,59
2022.03.26,N5,61
2022.03.26,PB,6
2022.03.23,N1,31
2022.03.23,N2,32
2022.03.23,N3,37
2022.03.23,N4,38
2022.03.23,N5,48
2022.03.23,PB,24
2022.03.21,N1,1
2022.03.21,N2,15
2022.03.21,N3,26
2022.03.21,N4,63
2022.03.21,N5,65
2022.03.21,PB,16
2022.03.19,N1,8
2022.03.19,N2,9
2022.03.19,N3,18
2022.03.19,N4,48
2022.03.19,N5,52
2022.03.19,PB,6
2022.03.16,N1,3
2022.03.16,N2,28
2022.03.16,N3,34
2022.03.16,N4,35
2022.03.16,N5,58
2022.03.16,PB,17
2022.03.14,N1,21
2022.03.14,N2,28
2022.03.14,N3,32
2022.03.14,N4,44
2022.03.14,N5,49
2022.03.14,PB,6
2022.03.12,N1,19
2022.03.12,N2,20
2022.03.12,N3,37
2022.03.12,N4,39
2022.03.12,N5,61
2022.03.12,PB,8
2022.03.09,N1,13
2022.03.09,N2,22
2022.03.09,N3,34
2022.03.09,N4,51
2022.03.09,N5,67
2022.03.09,PB,10
2022.03.07,N1,10
2022.03.07,N2,43
2022.03.07,N3,55
2022.03.07,N4,59
2022.03.07,N5,67
2022.03.07,PB,2
2022.03.05,N1,8
2022.03.05,N2,23
2022.03.05,N3,37
2022.03.05,N4,52
2022.03.05,N5,63
2022.03.05,PB,13
2022.03.02,N1,19
2022.03.02,N2,37
2022.03.02,N3,48
2022.03.02,N4,61
2022.03.02,N5,63
2022.03.02,PB,12
2022.02.28,N1,7
2022.02.28,N2,21
2022.02.28,N3,39
2022.02.28,N4,47
2022.02.28,N5,55
2022.02.28,PB,19
2022.02.26,N1,15
2022.02.26,N2,32
2022.02.26,N3,36
2022.02.26,N4,48
2022.02.26,N5,64
2022.02.26,PB,19
2022.02.23,N1,6
2022.02.23,N2,17
2022.02.23,N3,21
2022.02.23,N4,35
2022.02.23,N5,64
2022.02.23,PB,18
2022.02.21,N1,2
2022.02.21,N2,36
2022.02.21,N3,37
2022.02.21,N4,45
2022.02.21,N5,69
2022.02.21,PB,3
2022.02.19,N1,3
2022.02.19,N2,10
2022.02.19,N3,15
2022.02.19,N4,33
2022.02.19,N5,42
2022.02.19,PB,11
2022.02.16,N1,22
2022.02.16,N2,30
2022.02.16,N3,40
2022.02.16,N4,42
2022.02.16,N5,48
2022.02.16,PB,16
2022.02.14,N1,16
2022.02.14,N2,25
2022.02.14,N3,27
2022.02.14,N4,49
2022.02.14,N5,55
2022.02.14,PB,17
2022.02.12,N1,8
2022.02.12,N2,10
2022.02.12,N3,21
2022.02.12,N4,41
2022.02.12,N5,62
2022.02.12,PB,7
2022.02.09,N1,2
2022.02.09,N2,17
2022.02.09,N3,33
2022.02.09,N4,51
2022.02.09,N5,63
2022.02.09,PB,26
2022.02.07,N1,5
2022.02.07,N2,15
2022.02.07,N3,38
2022.02.07,N4,47
2022.02.07,N5,65
2022.02.07,PB,10
2022.02.05,N1,5
2022.02.05,N2,16
2022.02.05,N3,27
2022.02.05,N4,39
2022.02.05,N5,61
2022.02.05,PB,24
2022.02.02,N1,18
2022.02.02,N2,29
2022.02.02,N3,33
2022.02.02,N4,62
2022.02.02,N5,63
2022.02.02,PB,15
2022.01.31,N1,10
2022.01.31,N2,15
2022.01.31,N3,51
2022.01.31,N4,61
2022.01.31,N5,69
2022.01.31,PB,14
2022.01.29,N1,2
2022.01.29,N2,15
2022.01.29,N3,38
2022.01.29,N4,54
2022.01.29,N5,65
2022.01.29,PB,11
2022.01.26,N1,4
2022.01.26,N2,11
2022.01.26,N3,38
2022.01.26,N4,49
2022.01.26,N5,69
2022.01.26,PB,16
2022.01.24,N1,11
2022.01.24,N2,29
2022.01.24,N3,30
2022.01.24,N4,47
2022.01.24,N5,53
2022.01.24,PB,16
2022.01.22,N1,8
2022.01.22,N2,14
2022.01.22,N3,33
2022.01.22,N4,36
2022.01.22,N5,67
2022.01.22,PB,17
2022.01.19,N1,11
2022.01.19,N2,15
2022.01.19,N3,43
2022.01.19,N4,55
2022.01.19,N5,61
2022.01.19,PB,10
2022.01.17,N1,9
2022.01.17,N2,24
2022.01.17,N3,35
2022.01.17,N4,46
2022.01.17,N5,65
2022.01.17,PB,22
2022.01.15,N1,3
2022.01.15,N2,18
2022.01.15,N3,37
2022.01.15,N4,51
2022.01.15,N5,59
2022.01.15,PB,13
2022.01.12,N1,12
2022.01.12,N2,21
2022.01.12,N3,22
2022.01.12,N4,30
2022.01.12,N5,33
2022.01.12,PB,24
2022.01.10,N1,14
2022.01.10,N2,17
2022.01.10,N3,18
2022.01.10,N4,21
2022.01.10,N5,27
2022.01.10,PB,9
2022.01.08,N1,20
2022.01.08,N2,21
2022.01.08,N3,36
2022.01.08,N4,60
2022.01.08,N5,65
2022.01.08,PB,13
2022.01.05,N1,6
2022.01.05,N2,14
2022.01.05,N3,25
2022.01.05,N4,33
2022.01.05,N5,46
2022.01.05,PB,17
2022.01.03,N1,2
2022.01.03,N2,13
2022.01.03,N3,32
2022.01.03,N4,33
2022.01.03,N5,48
2022.01.03,PB,22
2022.01.01,N1,6
2022.01.01,N2,12
2022.01.01,N3,39
2022.01.01,N4,48
2022.01.01,N5,50
2022.01.01,PB,7
2021.12.29,N1,2
2021.12.29,N2,6
2021.12.29,N3,9
2021.12.29,N4,33
2021.12.29,N5,39
2021.12.29,PB,11
2021.12.27,N1,36
2021.12.27,N2,38
2021.12.27,N3,45
2021.12.27,N4,62
2021.12.27,N5,64
2021.12.27,PB,19
2021.12.25,N1,27
2021.12.25,N2,29
2021.12.25,N3,45
2021.12.25,N4,55
2021.12.25,N5,58
2021.12.25,PB,2
2021.12.22,N1,7
2021.12.22,N2,16
2021.12.22,N3,19
2021.12.22,N4,48
2021.12.22,N5,68
2021.12.22,PB,15
2021.12.20,N1,2
2021.12.20,N2,13
2021.12.20,N3,23
2021.12.20,N4,34
2021.12.20,N5,66
2021.12.20,PB,2
2021.12.18,N1,2
2021.12.18,N2,6
2021.12.18,N3,24
2021.12.18,N4,51
2021.12.18,N5,61
2021.12.18,PB,1
2021.12.15,N1,19
2021.12.15,N2,20
2021.12.15,N3,40
2021.12.15,N4,42
2021.12.15,N5,59
2021.12.15,PB,15
2021.12.13,N1,10
2021.12.13,N2,30
2021.12.13,N3,37
2021.12.13,N4,53
2021.12.13,N5,59
2021.12.13,PB,4
2021.12.11,N1,3
2021.12.11,N2,25
2021.12.11,N3,44
2021.12.11,N4,53
2021.12.11,N5,64
2021.12.11,PB,10
2021.12.08,N1,3
2021.12.08,N2,7
2021.12.08,N3,33
2021.12.08,N4,50
2021.12.08,N5,69
2021.12.08,PB,24
2021.12.06,N1,3
2021.12.06,N2,21
2021.12.06,N3,38
2021.12.06,N4,50
2021.12.06,N5,59
2021.12.06,PB,6
2021.12.04,N1,10
2021.12.04,N2,40
2021.12.04,N3,45
2021.12.04,N4,56
2021.12.04,N5,67
2021.12.04,PB,2
2021.12.01,N1,12
2021.12.01,N2,15
2021.12.01,N3,38
2021.12.01,N4,57
2021.12.01,N5,63
2021.12.01,PB,24
2021.11.29,N1,18
2021.11.29,N2,26
2021.11.29,N3,28
2021.11.29,N4,38
2021.11.29,N5,47
2021.11.29,PB,17
2021.11.27,N1,8
2021.11.27,N2,32
2021.11.27,N3,55
2021.11.27,N4,64
2021.11.27,N5,66
2021.11.27,PB,10
2021.11.24,N1,10
2021.11.24,N2,16
2021.11.24,N3,32
2021.11.24,N4,63
2021.11.24,N5,65
2021.11.24,PB,17
2021.11.22,N1,7
2021.11.22,N2,20
2021.11.22,N3,29
2021.11.22,N4,38
2021.11.22,N5,67
2021.11.22,PB,22
2021.11.20,N1,40
2021.11.20,N2,43
2021.11.20,N3,48
2021.11.20,N4,59
2021.11.20,N5,69
2021.11.20,PB,19
2021.11.17,N1,3
2021.11.17,N2,16
2021.11.17,N3,48
2021.11.17,N4,52
2021.11.17,N5,60
2021.11.17,PB,1
2021.11.15,N1,5
2021.11.15,N2,31
2021.11.15,N3,34
2021.11.15,N4,51
2021.11.15,N5,53
2021.11.15,PB,23
2021.11.13,N1,8
2021.11.13,N2,15
2021.11.13,N3,26
2021.11.13,N4,35
2021.11.13,N5,45
2021.11.13,PB,9
2021.11.10,N1,19
2021.11.10,N2,25
2021.11.10,N3,43
2021.11.10,N4,46
2021.11.10,N5,48
2021.11.10,PB,14
2021.11.08,N1,21
2021.11.08,N2,46
2021.11.08,N3,47
2021.11.08,N4,57
2021.11.08,N5,62
2021.11.08,PB,8
2021.11.06,N1,8
2021.11.06,N2,30
2021.11.06,N3,48
2021.11.06,N4,57
2021.11.06,N5,64
2021.11.06,PB,9
2021.11.03,N1,1
2021.11.03,N2,2
2021.11.03,N3,24
2021.11.03,N4,50
2021.11.03,N5,57
2021.11.03,PB,26
2021.11.01,N1,9
2021.11.01,N2,25
2021.11.01,N3,34
2021.11.01,N4,44
2021.11.01,N5,45
2021.11.01,PB,8
2021.10.30,N1,5
2021.10.30,N2,23
2021.10.30,N3,28
2021.10.30,N4,43
2021.10.30,N5,56
2021.10.30,PB,19
2021.10.27,N1,3
2021.10.27,N2,6
2021.10.27,N3,26
2021.10.27,N4,35
2021.10.27,N5,51
2021.10.27,PB,17
2021.10.25,N1,10
2021.10.25,N2,27
2021.10.25,N3,29
2021.10.25,N4,44
2021.10.25,N5,58
2021.10.25,PB,24
2021.10.23,N1,10
2021.10.23,N2,30
2021.10.23,N3,51
2021.10.23,N4,57
2021.10.23,N5,63
2021.10.23,PB,20
2021.10.20,N1,7
2021.10.20,N2,29
2021.10.20,N3,36
2021.10.20,N4,41
2021.10.20,N5,43
2021.10.20,PB,5
2021.10.18,N1,30
2021.10.18,N2,32
2021.10.18,N3,48
2021.10.18,N4,53
2021.10.18,N5,63
2021.10.18,PB,12
2021.10.16,N1,30
2021.10.16,N2,31
2021.10.16,N3,41
2021.10.16,N4,42
2021.10.16,N5,48
2021.10.16,PB,3
2021.10.13,N1,23
2021.10.13,N2,29
2021.10.13,N3,47
2021.10.13,N4,59
2021.10.13,N5,60
2021.10.13,PB,15
2021.10.11,N1,11
2021.10.11,N2,20
2021.10.11,N3,33
2021.10.11,N4,39
2021.10.11,N5,65
2021.10.11,PB,24
2021.10.09,N1,12
2021.10.09,N2,17
2021.10.09,N3,30
2021.10.09,N4,45
2021.10.09,N5,62
2021.10.09,PB,5
2021.10.06,N1,1
2021.10.06,N2,17
2021.10.06,N3,52
2021.10.06,N4,58
2021.10.06,N5,64
2021.10.06,PB,1
2021.10.04,N1,12
2021.10.04,N2,22
2021.10.04,N3,54
2021.10.04,N4,66
2021.10.04,N5,69
2021.10.04,PB,15
2021.10.02,N1,28
2021.10.02,N2,38
2021.10.02,N3,42
2021.10.02,N4,47
2021.10.02,N5,52
2021.10.02,PB,1
2021.09.29,N1,2
2021.09.29,N2,7
2021.09.29,N3,11
2021.09.29,N4,17
2021.09.29,N5,32
2021.09.29,PB,11
2021.09.27,N1,21
2021.09.27,N2,22
2021.09.27,N3,39
2021.09.27,N4,44
2021.09.27,N5,60
2021.09.27,PB,12
2021.09.25,N1,22
2021.09.25,N2,23
2021.09.25,N3,37
2021.09.25,N4,62
2021.09.25,N5,63
2021.09.25,PB,19
2021.09.22,N1,20
2021.09.22,N2,40
2021.09.22,N3,47
2021.09.22,N4,55
2021.09.22,N5,63
2021.09.22,PB,5
2021.09.20,N1,37
2021.09.20,N2,51
2021.09.20,N3,54
2021.09.20,N4,58
2021.09.20,N5,60
2021.09.20,PB,19
2021.09.18,N1,5
2021.09.18,N2,36
2021.09.18,N3,39
2021.09.18,N4,45
2021.09.18,N5,57
2021.09.18,PB,11
2021.09.15,N1,1
2021.09.15,N2,4
2021.09.15,N3,18
2021.09.15,N4,46
2021.09.15,N5,62
2021.09.15,PB,25
2021.09.13,N1,37
2021.09.13,N2,40
2021.09.13,N3,50
2021.09.13,N4,61
2021.09.13,N5,63
2021.09.13,PB,21
2021.09.11,N1,20
2021.09.11,N2,31
2021.09.11,N3,38
2021.09.11,N4,40
2021.09.11,N5,49
2021.09.11,PB,21
2021.09.08,N1,9
2021.09.08,N2,22
2021.09.08,N3,41
2021.09.08,N4,47
2021.09.08,N5,61
2021.09.08,PB,21
2021.09.06,N1,11
2021.09.06,N2,20
2021.09.06,N3,22
2021.09.06,N4,33
2021.09.06,N5,54
2021.09.06,PB,24
2021.09.04,N1,32
2021.09.04,N2,35
2021.09.04,N3,40
2021.09.04,N4,52
2021.09.04,N5,54
2021.09.04,PB,1
2021.09.01,N1,10
2021.09.01,N2,20
2021.09.01,N3,29
2021.09.01,N4,48
2021.09.01,N5,51
2021.09.01,PB,17
2021.08.30,N1,3
2021.08.30,N2,15
2021.08.30,N3,45
2021.08.30,N4,51
2021.08.30,N5,61
2021.08.30,PB,8
2021.08.28,N1,12
2021.08.28,N2,22
2021.08.28,N3,26
2021.08.28,N4,46
2021.08.28,N5,59
2021.08.28,PB,26
2021.08.25,N1,27
2021.08.25,N2,39
2021.08.25,N3,54
2021.08.25,N4,56
2021.08.25,N5,59
2021.08.25,PB,24
2021.08.23,N1,17
2021.08.23,N2,36
2021.08.23,N3,47
2021.08.23,N4,60
2021.08.23,N5,61
2021.08.23,PB,15
2021.08.21,N1,16
2021.08.21,N2,28
2021.08.21,N3,36
2021.08.21,N4,39
2021.08.21,N5,59
2021.08.21,PB,4
2021.08.18,N1,35
2021.08.18,N2,36
2021.08.18,N3,51
2021.08.18,N4,55
2021.08.18,N5,61
2021.08.18,PB,26
2021.08.14,N1,6
2021.08.14,N2,21
2021.08.14,N3,49
2021.08.14,N4,65
2021.08.14,N5,67
2021.08.14,PB,18
2021.08.11,N1,12
2021.08.11,N2,18
2021.08.11,N3,20
2021.08.11,N4,29
2021.08.11,N5,30
2021.08.11,PB,16
2021.08.07,N1,7
2021.08.07,N2,24
2021.08.07,N3,36
2021.08.07,N4,54
2021.08.07,N5,60
2021.08.07,PB,23
2021.08.04,N1,5
2021.08.04,N2,21
2021.08.04,N3,32
2021.08.04,N4,36
2021.08.04,N5,58
2021.08.04,PB,14
2021.07.31,N1,1
2021.07.31,N2,21
2021.07.31,N3,22
2021.07.31,N4,34
2021.07.31,N5,47
2021.07.31,PB,4
2021.07.28,N1,25
2021.07.28,N2,30
2021.07.28,N3,53
2021.07.28,N4,59
2021.07.28,N5,60
2021.07.28,PB,5
2021.07.24,N1,1
2021.07.24,N2,4
2021.07.24,N3,11
2021.07.24,N4,59
2021.07.24,N5,67
2021.07.24,PB,10
2021.07.21,N1,27
